n_training,n_neurons,l_noise,train_algo,q_validate,q_regular,c_regular,epochs,stop,best_perf,best_vperf,best_tperf,net_true_error
1000,40,0.1,trainscg,TRUE,TRUE,1.00E-06,48,Validation stop.,0.01154599,0.011059195,NaN,0.001023783
1000,5,0.1,trainbfg,TRUE,FALSE,0.5,39,Validation stop.,0.010195402,0.010422886,NaN,0.001050919
1000,20,0.1,traingdx,FALSE,TRUE,1.00E-06,1000,Maximum epoch reached.,0.010645602,NaN,NaN,0.001059451
1000,20,0.1,trainbfg,TRUE,TRUE,1.00E-06,31,Validation stop.,0.011048335,0.011858982,NaN,0.001060126
1000,40,0.1,traingdx,FALSE,TRUE,1.00E-06,1000,Maximum epoch reached.,0.011519344,NaN,NaN,0.00106465
1000,20,0.1,trainscg,TRUE,FALSE,0.5,60,Validation stop.,0.010682951,0.010564903,NaN,0.001068494
200,20,0.1,traingdx,FALSE,TRUE,0.1,1000,Maximum epoch reached.,6.185027586,NaN,NaN,0.001085057
1000,10,0.1,trainscg,TRUE,TRUE,1.00E-06,67,Validation stop.,0.011176001,0.010317323,NaN,0.001097864
1000,40,0.1,trainbfg,TRUE,FALSE,0.5,36,Validation stop.,0.010594917,0.01066154,NaN,0.001136503
1000,10,0.1,trainbfg,TRUE,FALSE,0.5,75,Validation stop.,0.010842091,0.011334727,NaN,0.001142144
1000,10,0.1,trainbfg,TRUE,TRUE,1.00E-06,45,Validation stop.,0.010832925,0.011817377,NaN,0.001152031
1000,40,0.1,traingdx,FALSE,TRUE,0.1,1000,Maximum epoch reached.,91.53749789,NaN,NaN,0.001172162
200,20,0.1,trainscg,TRUE,TRUE,1.00E-06,47,Validation stop.,0.010666183,0.011254037,NaN,0.001174396
200,10,0.1,trainscg,FALSE,TRUE,1.00E-06,1000,Maximum epoch reached.,0.009430737,NaN,NaN,0.001243258
200,10,0.1,trainrp,FALSE,TRUE,1.00E-06,1000,Maximum epoch reached.,0.009531941,NaN,NaN,0.001280245
1000,5,0.1,traingdx,FALSE,FALSE,0.5,1000,Maximum epoch reached.,0.011116287,NaN,NaN,0.00129906
1000,5,0.1,traingdx,FALSE,TRUE,1.00E-06,1000,Maximum epoch reached.,0.010855306,NaN,NaN,0.001316733
200,5,0.1,traingdx,FALSE,TRUE,1.00E-06,1000,Maximum epoch reached.,0.011051359,NaN,NaN,0.001327748
200,10,0.1,trainlm,FALSE,TRUE,1.00E-06,6,Maximum MU reached.,0.007672929,NaN,NaN,0.001389962
1000,20,0.1,trainrp,FALSE,FALSE,0.5,1000,Maximum epoch reached.,0.01071128,NaN,NaN,0.00139081
200,5,0.1,trainscg,FALSE,FALSE,0.5,1000,Maximum epoch reached.,1.580032502,NaN,NaN,0.0014
1000,40,0.1,trainlm,FALSE,FALSE,0.5,663,Minimum gradient reached.,0.008258802,NaN,NaN,0.001480807
200,5,0.1,traingdx,FALSE,FALSE,0.5,1000,Maximum epoch reached.,0.0109448,NaN,NaN,0.001500879
200,10,0.1,trainrp,FALSE,FALSE,0.5,1000,Maximum epoch reached.,0.009771924,NaN,NaN,0.001501249
1000,5,0.1,trainscg,TRUE,FALSE,0.5,28,Validation stop.,0.011051377,0.011270082,NaN,0.001502828
200,10,0.1,trainlm,TRUE,FALSE,0.5,12,Validation stop.,0.008396088,0.01035003,NaN,0.001504267
1000,20,0.1,trainbfg,TRUE,FALSE,0.5,32,Validation stop.,0.010743268,0.010948057,NaN,0.001504882
200,10,0.1,trainlm,TRUE,TRUE,1.00E-06,7,Maximum MU reached.,0.006883983,0.010924604,NaN,0.001554369
1000,10,0.1,trainrp,TRUE,FALSE,0.5,114,Validation stop.,0.011127733,0.011049306,NaN,0.001586534
1000,5,0.1,trainscg,TRUE,TRUE,1.00E-06,26,Validation stop.,0.011502478,0.011988054,NaN,0.001593411
